Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
0.177984,49209,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.174121,443,49209,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.339825,49210,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.342336,443,49210,TCP,"FIN,SYN,RST,PSH,ACK",6,541,Benign,541,5,1,1,1,0,0,inbound,541,0,0
65.259304,49210,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.176542,443,49210,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.33081,49211,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.332329,443,49211,TCP,"FIN,SYN,RST,PSH,ACK",5,481,Benign,481,5,1,1,1,0,0,inbound,481,0,0
0.172655,49211,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.172691,443,49211,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.326438,49212,443,TCP,"FIN,SYN,ACK",4,228,Benign,228,3,1,1,1,0,1,outbound,228,0,0
65.326007,443,49212,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.248159,49212,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.168689,443,49212,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.338477,49213,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.33898,443,49213,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.258301,49213,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.175096,443,49213,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.519875,49214,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.519703,443,49214,TCP,"FIN,SYN,RST,ACK",6,366,Benign,366,4,1,1,1,0,0,inbound,366,0,0
65.442321,49214,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
